0
CFTR
JAG1
DCDC2
PROM1
SLC12A2
GRAMD1B
PAPLN
ITGA3
EHF
SEL1L3
CDH6
DGKA
ATP8B2
PDGFD
ITGB4
JAML
BICC1
VIM
PDGFRA
SLIT2
ITIH5
CHD3
IL7R
PCNX2
PRICKLE1
COL4A4
CLSTN1
APCDD1
ANTXR1
AEBP1
SLC34A2
MMP7
INPP4B
TESC
LBH
LAMC2
ITGB8
WNK2
EPHA3
SCRN1
NALCN
KIAA1211
ATP2A3
FLNA
TCF4
NPNT
AQP1
ACSS1
TNFRSF21
ANK3
ADAM28
MAP1B
CLDN10
VWF
TC2N
C7
USH1C
KRT7
ANXA4
FGD3
DZIP1L
MAML2
CACNA1C
ARNT2
PHLDB1
ITGA2
CRIM1
KIRREL1
LAMA2
NOTCH3
PLPP2
UNC5C
PRKG1
PKHD1
AFAP1
ATP13A4
RAI2
TGFB3
DACT1
DLG3
PTPN14
LXN
PFKP
PLA2R1
GLS
CD96
TESPA1
ITPR3
GEM
PACS1
PDE1A
SOX9
GLI3
PLCXD3
TMEM173
PTPN13
RCAN2
CLIC6
ITGBL1
SPINT1
ARHGEF2
OXCT1
RERG
ADGRE5
TENM4
SFRP5
FMNL3
SLAMF1
NFASC
LDHB
FRAS1
MAP9
MRVI1
ARHGEF3
MFGE8
SLC38A1
ARHGEF6
FGFR2
KRT19
S100A6
KCNJ16
CCL19
CLSTN2
TCTN2
ENTPD1
ANXA3
SLCO3A1
PLAT
VCAN
DPYSL3
ITK
CARD11
ENO2
ADCY3
TGFB2
EFEMP2
MCAM
VTCN1
VEPH1
SCD5
MAP4K1
MAP3K1
MYOF
PDE3A
SLC5A1
DKK3
LAYN
ARHGEF17
CAVIN1
MYH10
GSN
STK39
FAP
ITPR1
PODXL
CD40LG
PLVAP
SVEP1
FGFR1
POF1B
MYO10
HAND2
SULF1
AKT3
RBMS3
NES
CHST4
IL16
CD3E
ZNF532
PIWIL4
CYTH3
SEMA4D
PMEPA1
GPRC5B
PARP8
TRERF1
TRAF3IP3
JAK3
GRHL2
EPCAM
ABI3BP
SEMA3C
CD2
SPOCK2
NEO1
DNAH7
ADGRA2
ELOVL7
FYN
PTK7
MMP2
CCR2
ATP10A
NCK2
RARG
LTBP2
TRPC4
LAMC3
SLC28A3
SPECC1
COL6A3
FBLN5
RAP1GAP2
STK17B
FCHSD1
SYTL2
FAM129A
MAGED4B
TNXB
HCLS1
DZIP1
RASGRF2
SEPT1
NAV3
TAGAP
TACC1
RASA3
ADGRB3
TUBA1A
CSGALNACT1
MYO3A
TNIK
CTNND2
INPP5D
EHD2
WLS
CCBE1
SCN7A
ARHGEF25
DPT
CACNA2D1
HDAC7
PIK3CG
PDZRN3
SLFN13
RBMS2
MFAP4
TPM4
GPC4
PIK3CD
TRAC
PTPRQ
SEMA3A
PLCB4
F3
ANK2
FMNL1
RAB34
SERPINB9
ADAMTSL2
DDR2
OSBPL5
ARHGAP44
COL12A1
STON1.GTF2A1L
GPRIN3
FRZB
CDH11
MAP1A
EFEMP1
CAPN2
PLXDC2
RASGRP1
CLIP3
FERMT1
PLXDC1
CNTN4
JCAD
ADAM23
MOXD1
PCDH18
HUNK
PODN
THEMIS
ISYNA1
BMP5
SP140
LIMA1
SPARCL1
PAPSS1
PTGDS
FKBP10
AHNAK
TLR5
SH3YL1
CD34
IGFBP7
KCNA3
CCDC80
ZNF462
SULT1C4
SLC4A7
MSC.AS1
RUNX1T1
GABRP
CD6
GLI2
GUCY1A1
ENPP5
C1orf116
CNN2
GPR176
CXCL6
HEPH
INAVA
GFPT2
TAGLN
LMCD1
LTBP4
VEGFC
MGAT5
MICAL1
PTCH1
INTS6L
COL16A1
CARMIL2
ZNF521
MFSD6
COL15A1
MAP2
LAMA4
SOGA1
TMEM200A
ANXA1
LEF1
ZEB2
WIPF1
MYO1G
CASTOR3
RFTN2
CELF2
TGFB1I1
IKZF1
SGIP1
DOCK8
EMB
CLIP4
RASAL1
LAMC1
KIF21B
KIAA1324L
TGFB1
KCNH8
ZNF14
C1orf198
IFT57
FXYD2
ITGA9
SLCO2A1
MEF2C
TBX2
UBASH3A
SFXN3
MSRB3
THBS1
PTPRE
ZFPM2
TRPV6
PARM1
CCL21
ITGA4
ADAMTS12
MGP
PIP4P2
SMOC2
TAF4B
DCLK1
CD5
DBN1
TMOD2
VCL
SLFN11
ARHGAP15
FBN1
C12orf75
CYTH4
CIITA
PKD2
PAQR5
SLC45A4
MYEF2
ABCC1
ESRP1
STK10
ARL4C
CLEC2D
DEF6
JHY
ARID5B
KIF5C
RUNX2
DMKN
DNAH2
NBEA
ACAP1
TRBC2
GRAP2
BCL11B
TMPRSS3
OSBPL7
CYBRD1
CCDC3
FUT8
GCNT4
ANO2
CYTIP
CORO1A
SEZ6L2
LPCAT4
MYL9
RNF150
DTX3
ARHGAP24
ADD3
WTIP
TRAF5
DYNC2H1
FYB1
IL2RG
EBF1
IRF4
GABBR1
LY9
IMPDH1
MMP14
TRPC1
GULP1
SPON1
MUC6
SEPT8
LUM
CRISPLD2
CD48
KLF5
ADRA2A
KCNQ1
PKM
BACE2
OSBPL3
AMPD3
ADAM19
HEYL
XYLT1
HK1
TGFBR2
HDGFL3
LRRC49
ALKAL2
EVA1C
ITGA8
MACC1
KIT
ZDHHC13
PPP1R16B
ARHGAP6
ZNF439
SPRED1
MOB3B
PRKCQ
TNFRSF19
ACTA2
SNRPN
PLEKHG2
SCARNA21
SH2D3C
GALNT7
VANGL2
TNFAIP8
P3H3
CUBN
TPM1
CHST11
SELENOM
ARHGEF38
LDB1
MS4A1
HGF
LCK
ANKRD44
ROBO1
APOBEC3C
SLC25A36
WWTR1
SWAP70
LDOC1
DCLK2
CD44
TMC8
DCN
SLC9A1
PECAM1
SFMBT2
ARMCX2
SSC5D
SEMA3D
AP1M2
LAMB1
NAP1L1
ZC2HC1A
FGF7
ANXA11
PREX1
OSMR
UNC5B
FMOD
NFATC4
FILIP1L
PLEKHB1
ATP2B4
LRRC32
LAMA1
IQCA1
ALOX5
GGT5
CTBP2
SYK
IKZF3
CD3G
PIP4K2A
SOD3
TBC1D9
VILL
SH3PXD2B
IKBKE
ZNF827
PMP22
SLC25A12
GSTP1
KCNN3
LCP2
SLIT3
MCTP1
CERCAM
LCA5
MYO5A
FCHO1
CD24
PDGFRB
PBXIP1
ANKRD36BP2
FRMD6
MYH9
PRDM16
STK33
LOXL1
LY75.CD302
GRK5
SMARCD3
SYNPO2
COL14A1
SPATA6
CD3D
PLCL1
LAX1
RCSD1
PELI2
DDR1
HNF1B
NR2F2
PLP2
NT5DC2
HID1
BHLHE41
TSHZ3
GXYLT2
USP11
DOCK2
CD163L1
BCL11A
GVINP1
LRCH2
CACNB1
SLC25A24
SGPP2
CPNE5
RASAL3
SIDT1
AGAP2
IGFBP6
ABR
EPHA6
APBB1
KALRN
ZAP70
PLEKHO1
PFKM
P2RX5
ENDOD1
FLI1
RASSF2
TANC1
ITGAV
SINHCAF
MAPK10
WDR35
CACNA1I
PIM2
INMT
LRRC7
SCUBE2
TEX9
FAM102B
SALL2
MLLT3
FRMD3
SEMA4A
ANO9
PAM
RAB11FIP1
FHOD1
ELF4
GLYATL1
IQGAP1
AKNA
IFI16
PRSS22
RRAD
EPB41L2
FBLN1
ITPKB
PCDHGC3
FAM13C
CXCL12
WASF2
ATP1B2
PAG1
MSC
RASSF8
PJA1
PRDM1
TIMP2
GLT8D2
PTGIS
KLHL6
ARHGAP30
SEMA3G
HNRNPA1
F13A1
HEG1
PPP1R18
TLL1
ELK3
ZNF831
CNTNAP1
ALDH1L2
FBLIM1
C20orf194
IL20RA
SLFN12L
GALNT17
BOC
CD37
CCND2
PDP1
BCL2
ARHGAP23
ACVR2A
COL4A3
CD200
CSF2RA
CH25H
PRELP
ARHGAP25
NRP1
COL9A2
BIN2
WAS
TTYH1
TEAD2
CCDC88C
LTB
FAM83B
MRC2
GUCY1B1
FCMR
TSC22D1
NBEAL2
NCF4
ZBP1
MARK1
ISLR
PLA2G4A
PTPRC
SPINT2
ADAMTS1
FMN1
PALLD
PHF19
THBS2
NLRP1
FLRT2
DSCAML1
MEIS3
SGCA
FAM133CP
ARHGAP9
MYO1F
CCDC8
C2CD2
KCTD10
B4GALNT3
NDE1
RAC2
RNF145
INMT.MINDY4
RFX3
TMEM67
PLXNB3
SDK1
PTPN6
BGN
ADCY7
PSTPIP1
ARHGEF10
CACNB3
ADAMTS2
CSPG4
FCER1A
CAPN6
OTULINL
TMSB10
NPHP1
NEXN
KIF3A
TACSTD2
DYRK2
PEAR1
TRABD2A
JADE2
TMEM156
LHFPL6
DCLRE1C
MEI1
IL34
PLEKHG5
CLEC10A
SPTB
FHL2
PRDM5
JAM3
DGKH
KCNS3
PTPN7
ANGPT1
SLC7A6
CCL2
SLFN5
APOBEC3D
OLFML1
COL4A2
EVC2
STK4
MFAP2
IGSF10
ABCA3
CALHM2
EPHB6
ASPN
TRAT1
GPD1L
NHS
PLCG1
ASAP1
FAR1
RGS10
NLRP3
ARMC9
ICOS
SLC2A3
HSPA2
MYLIP
PTP4A3
SCP2
PGM1
TNS1
RYR2
BNC2
ARMCX1
GMIP
IL27RA
TMC6
GDI1
GLIS3
SPHK1
VSIG2
SYTL1
PRTG
VSIR
NLRC3
LUZP1
ARHGAP4
IFFO2
ELN
IRAK3
INPP4A
VGLL3
LPAR1
GJA1
EPS8L1
SLC4A3
ABCD2
FCRL5
DPYS
ARHGAP31
SORD
MMRN1
ZNF43
LGR6
TRPV2
LAIR1
NPR3
GLI1
SPN
CCDC102B
